,Text,standford_sentiment,Vader_sentiment
1529634,aw thank i think that one be out of our price range,Neutral,Positive
1338613,back to back appointments all day fu n stuff,Neutral,Negative
936001,any nearby place to escape the heat amp dust hear that even mahabaleshwar be very hot now,Negative,Positive
1445587,night stacy love you too hun muah,Neutral,Positive
584505,so very sad,Negative,Negative
748029,oh no food poison be the pit hope you re feel better soon,Negative,Neutral
777983,i wish my right arm would stop go numb,Neutral,Negative
580408,my phone s totally crazy so i think ima have to wait till the morning to fix it sorry i can t ring you to say g night i hope,Negative,Neutral
1360069,start play red faction,Neutral,Positive
1279200,you can get enough workout without the board you will see for more fun get the board,Positive,Positive
1499026,u on call nt i m on train again back from chicago hop to make it albeit late fun wkend with your peep,Negative,Positive
880306,hello in the past days we ve discuss u and ur book esp ageless body this be kondaveti s plr course,Negative,Neutral
828941,damn thats pretty impressive,Positive,Positive
281753,yey for private blog eh i do kind of miss meet new readers though,Negative,Negative
956224,yeah last time i do that it completely skrewed up so im not aloud to do it anymore doesnt stop me though,Neutral,Positive
1085653,le week end je travail i im work in a night club as dj,Negative,Neutral
940495,i agree would be nice to see one of them in red,Positive,Positive
844862,it s just not right for me seriously right now i m prioritize multiply amp twitter only,Negative,Negative
227129,morning to you i also get home sick from bloggirls just dose myself and back in bed with a cuppa how re you feel,Negative,Negative
1190415,be save the world one movie and berry at a time let me know how i can help,Neutral,Positive
43919,just realize i totally blank and forget the first friday artwalk at fail,Negative,Negative
841751,hi be you available to translate some stuff into japanese kind of today,Positive,Neutral
542537,man long day and i m only half way there,Neutral,Neutral
1597492,you must have a phone for every day of the week can t wait to hear your opinions on the new iphone,Neutral,Neutral
605859,just get up take camryn to the dentist,Negative,Neutral
303178,where s teddy,Neutral,Neutral
782820,that s not work,Neutral,Neutral
773768,have fun i can t go,Positive,Positive
88582,watch sunday morning politics do laundry work on my end of year slideshow all the while wish i be still sound asleep,Negative,Positive
753918,so much for even get ready this morning i think i be go somewhere today but i guess not today suck,Negative,Positive
659489,i be fail x,Neutral,Negative
643140,my ipods almost full,Neutral,Neutral
1414159,now i be even stokedier for my summerbreak maybe i should write even more stoke instead of even stokedier no that s just me yupp,Negative,Negative
232954,maaan the water in the house be gon na be freak freeze this morning,Negative,Negative
896047,get rub all over rule make dollars in hours be sweet too,Negative,Positive
393673,why can t we just all be rich and not work and travel to other countries for business meet and tour,Negative,Positive
453363,ugh i have a headache and a little dizzy feel bad,Negative,Negative
399996,your youtube channel have be suspend weird,Neutral,Negative
341345,deal w post bea by talk about it nonstop amp annoy everyone around me ha amp look at photos and big stack of bks,Negative,Negative
1227008,just to remind you twitter isn t a replacement for an instant chat app,Negative,Neutral
350404,not in a good mood,Negative,Negative
910163,i make delicious pasta,Positive,Positive
1466357,we re fly high we re watch the world pass us by never want to come down never want to put my feet back down on the grind,Neutral,Negative
1430921,start now saturday nigh jazz on fm kmhd stream live at kmhd fm,Neutral,Neutral
786025,rip the orb s andy hughs,Negative,Neutral
1155013,i m on my new mini computer its so cute i shall twitpic it soon,Positive,Positive
309313,hah i know i be in line for potc my favorite ride we keep pass angel stadium a lot and i just keep get sadder,Positive,Negative
829067,nice one by the way i ve work out how you can reply to people on your phone just type then their username,Positive,Positive
1251388,musicmonday jonas brothers quot paranoid quot really go well with the movie i m watch a beautiful mind love this movie so far,Positive,Positive
1543566,quot the toilets be so fancy they re fill with soapy water quot,Neutral,Neutral
628968,i be hop for some little green vistors though,Neutral,Neutral
290956,i have a bad dream or nightmare if you will that you turn into some juice monkey not cool,Negative,Negative
1002514,hrhrhr if so try to put your dslr in the machine,Negative,Neutral
653155,sigh wish i be go,Neutral,Positive
958096,sound perfect for you and to supply refreshments proper job,Positive,Positive
1322673,in the studio until end of june then woohoo everything be do time to start another,Neutral,Positive
538029,wow i be a little sick,Positive,Positive
89773,hate when he leave two weeks without him,Negative,Negative
114345,you guy should bring back the muffins my mom say they be really good,Positive,Positive
274196,excite to complete brigstock novice with just a show jump down hard grind get the better of bob though,Negative,Positive
1261155,really what kind you have to give me your number,Positive,Positive
1416530,years old boys brag about wink at mrs bruni they re young but not that young,Neutral,Neutral
372641,summer course start mon yay,Neutral,Positive
1146919,just pull up to sushi dan with let the bday celebration begin or continue yeh,Negative,Neutral
495981,i m so sick of summer storm,Negative,Negative
558137,anyone know who brit s support act be for tonight ticketmaster say ciara be go home and not perform,Neutral,Positive
969314,good stuff whats work lookin like this week im in mon fri not lookin forward to it lol i prefer it when i get wed off,Positive,Positive
1202168,guess who s home from camp,Neutral,Neutral
1383173,smith be from lodi and diaz be from stockton no worry though bro it s a friday night and i understand,Neutral,Negative
1418415,haha you miss all the action lol yeah shes from methilhill like mins from me they should do celeb one and get rob,Negative,Positive
1041642,leo process give me a little bite more time be ok becoz im do other logos too haha,Negative,Positive
1286802,hopefully it s really annoyin,Neutral,Positive
488669,can t move her right hand any more shit might have to go see a doc or the e amp a,Neutral,Negative
112806,poorly sick eye and throat be burn ears be tickle nose be sneeze mouth be sulk,Negative,Negative
1207247,ughhh i m finna get in da shower,Negative,Neutral
678284,mmm sound like home miss it what be you go to do on this friday night in hawaii,Negative,Positive
305275,you never watch in live color with me,Neutral,Neutral
1316156,yes i be there both mon amp tues nights and then the th day novena too bad i didn t see you how be you,Negative,Negative
424809,i don t want to go i m go to miss you all so much,Neutral,Negative
218573,hope annaek get home soon and get my long message and call me hahaha wooow that be so lesbian lmao o,Negative,Positive
685023,i m really fuck hop i don t have pneumonia i feel like shit bedtime w the boy get up in a few hours to clean the apartment,Negative,Negative
262302,like that and what bravery for her to keep on keep on in spite of everything i hate go thru old stuff,Neutral,Negative
556265,i hope all of my fellow iranians find peace and if you cant then flee the country if you can flee i c u,Neutral,Positive
385311,i be have a hard time download naruto episodes and,Negative,Negative
259997,i break my arm,Neutral,Neutral
1143229,i miss stop have so much fun and come back home haha jk about the stop have fun part im serious about the rest,Neutral,Positive
46563,what s wrong with your mum immediate family be good here but my aunty be pretty bad cancer be a nasty thing,Negative,Negative
641087,awww only followers,Negative,Neutral
1468159,but yes i be think he be fire,Neutral,Positive
1031897,deaddddd shit up lmfao oh well my first laugh lol hi,Positive,Positive
1016002,lt them followfriday,Neutral,Neutral
1442531,i feel you continue on with your clean up and custodial duties lol you have my bless,Positive,Positive
706477,well if i say the truth and say it be fiona she d rip me up alive,Positive,Positive
1109112,golf with my daddy woot woot,Neutral,Positive
57774,on my way home didn t really have a good night i should ve stay home like i be plan n the st play smh,Negative,Positive
241733,pack amp ready for airport v important stuff go on here but i get ta keep roti on table amp can t be place once warp to toronto,Negative,Positive
993489,get go my friends have a happy day,Positive,Positive
917847,tweeten maar,Neutral,Neutral
121466,i miss my friends a lot summer s over,Negative,Positive
330754,not until august,Neutral,Neutral
1301119,yeah be definatley a bite ouchy by my big toe but overall i manage just fine,Negative,Positive
956427,thank you she be so beautiful lt,Positive,Positive
962323,can t wait to hear about mary tell me the character encounter be come along nicely,Neutral,Positive
148884,lmao fml jesse at aver make a cute post about katie and talk about how they re together,Neutral,Positive
70150,i know right but it must b tough find some that would b down w it kind of a catch damn if u do damn if u dont,Negative,Negative
1379314,go shop today new clothe and ahem knickers,Neutral,Neutral
454580,i hate this cold i ve catch,Negative,Negative
742948,i love jing s pure simplicity and free web host but the minute limit be often too short for an in depth screencast,Negative,Positive
1517192,hope to c ya later hun take care,Neutral,Positive
986427,lol realize i miss the back page oops no we will watch gg amp on thursday or friday,Negative,Positive
1284149,so much work nut not so much time damn,Neutral,Negative
1436620,yup you can try it out on the t t discussion blog,Neutral,Neutral
1316743,hand mend real well i must say not the slightest pain when i type which mean nu be about to be grace by a few note,Positive,Positive
256162,i have a fever a cough and i just feel blehhh,Negative,Neutral
1358432,ahhh you ve good taste in tv adam x,Negative,Positive
1125532,gettin the hair do twitter do pass the time,Neutral,Neutral
1194759,oh it be mmm good time,Positive,Positive
892409,thank you for the post about poi,Positive,Positive
500277,just burn my lunch,Negative,Neutral
424437,sometimes food just suck,Neutral,Negative
538520,thunder and lightning,Neutral,Neutral
274852,well at least he tell you so you don t have to keep guess right suck though that they couldn t get there,Positive,Negative
1283079,when be not a late night,Neutral,Neutral
1508421,me love brazilian food good night,Positive,Positive
741621,i m do something nobody on their sane mind would want to do laundry one of the main reason i hate sunday mornings,Negative,Negative
593366,mehh i actually go school day boo stupid amp mean science teacher,Negative,Negative
929089,thank you,Neutral,Positive
103823,come on dahhhling you kno there s lamb all over the world but the best lambe be here wish i be there bleakkkk,Neutral,Positive
53912,i need to talk to u i miss u so much,Neutral,Negative
1112102,aww thank you everton do well amp get record fastest goal in fa cup history,Neutral,Positive
909153,txs so much for followfriday i have be so mia recently work be kill me hope you r do funtastic,Negative,Negative
1215064,whhohoo hello paradise hehe one place i would love to visit,Negative,Positive
721014,omg sis i miss u where have you be i need you everyone be be really rude and cruel with me,Negative,Negative
1599078,good luck,Positive,Positive
581735,goodbye north hampton,Neutral,Neutral
1137247,well try it out u might end up really lick it,Positive,Positive
118264,hang in there we all have those days,Neutral,Neutral
1016659,life without a cell phone be indeed wonderful,Positive,Positive
441920,every girl need her daddy around to deal with car issue unfortunately mine be somewhere with his rv,Negative,Negative
863422,work then hannah montanna movie again cool,Neutral,Positive
1094884,babybummie oppa saranghae imissyou tooooink haha,Negative,Positive
108526,hmmm watch this movie be make me miss my best friend try to keep it together,Negative,Positive
1232971,pwn d quot eminem nice to meet you quot,Positive,Positive
347995,cooler today and cloudy,Neutral,Neutral
308532,it be lose again,Neutral,Negative
616315,monsoon like i m nyc def not feel summer munch on sum chocolate twizzlers waitin for work to be a wrap what s good,Negative,Positive
508320,be very warm i d far rather be cold than hot you can always put more clothe on but you can only take off so much before you re naked,Negative,Positive
1530224,oh come on some guy who i imagine be on some pop contest or something just simply rip the soul out of that song,Negative,Neutral
343891,oops i be just search for it and realize i throw it away after try to clean the beach with it,Negative,Positive
872241,bret michaels at i can not wait tonite be gon na rock aint lookin for nothin but a good time and it dont get better than this,Negative,Positive
652739,well that s it last exam further pure mathematics highest a level module in difficulty be a blast and now i leave school,Negative,Negative
842114,we re home from charlottesville finally the ride home be always so long after a weekend like that,Neutral,Positive
1573399,me too,Neutral,Neutral
1034846,when do you start use a mac askij,Neutral,Neutral
599151,new friday fever assessment,Neutral,Neutral
1503480,hey conan ain t so bad he have his moments,Negative,Negative
249241,i miss my best friend so terribly much,Negative,Positive
1000010,be off to see amy i ve miss amy like so much too and we get to watch twilight what a great night,Neutral,Positive
783744,i dont feel so good,Positive,Positive
414123,pen will come back to win this thing just not tonight,Negative,Positive
1221576,run home for lunch,Neutral,Neutral
862256,and it s for real l good night,Neutral,Positive
1410218,yeah he s definitely overcompensate there to make up for the home life btw it s movie rentals mo,Neutral,Positive
1422877,my dad s van break down at sonic that be fun,Neutral,Positive
243814,omfg i have so much clothe so much that i m trap in a circle of clothe,Negative,Negative
728219,get towards the end of battlestar galactica,Neutral,Neutral
410830,i m right there with ya my nd box die days ago video failure not cover under warranty,Negative,Negative
270123,definitely jealous with min sun in the mnet scandal with nickhun,Neutral,Negative
328076,darn it i forget our gspm youtube password no upload of the class video tonight,Negative,Negative
973578,see what fun you miss without facebook,Positive,Positive
1479340,bust quot you say no quot be on tmf good time,Negative,Positive
1113920,wait in line while jen amp kid eat lunch currently i be the line i don t mess around i d wait for two hours in line i m tough,Negative,Negative
858156,be today a tuna tuesday,Neutral,Neutral
903551,and so another week begin this one have get to be better than the last,Negative,Positive
889201,happy birthday may today bring you lot of chocolate treat and sweet potato fry,Verypositive,Positive
719551,i hate wireless mouse i always end up lose the mouse,Neutral,Negative
1199770,home home again i like to be here when i can hi i m back,Negative,Positive
747274,another day fill with babysitting i wish i could babysit my baby,Negative,Positive
1383165,head back hotel b real show be dope,Neutral,Neutral
1179165,haha you be too funny happy wash,Negative,Positive
974639,yes do it,Neutral,Positive
100604,i want thread linear suck,Negative,Negative
343459,holiday puuurlease,Neutral,Positive
855379,naffed listen to the blackout before i set off for college bang,Negative,Neutral
1004720,o qh not a day off twitter i hope btw wotcha listen to in those funky earphones,Negative,Positive
348841,i love me some he be my man but i never can get a tweet of da babe but he be so sexiii,Neutral,Positive
1195271,whats good darling long time no hear,Neutral,Positive
555046,twitter why win t you work on my phone,Neutral,Positive
1095622,awww thanx babe have stay up im at work lol,Negative,Positive
424604,can t wait to go out only and a half more hours at work help me,Negative,Positive
547291,keep goin laura u can do it only hours mins go i want my leaba,Negative,Positive
739522,i be absolutely not serious pakcricket,Neutral,Positive
960107,need to get the pool clean but don t really want to need a cheap pool boy,Negative,Positive
865038,victory we re leave bedtime,Neutral,Negative
1024983,can do that,Neutral,Neutral
565554,goood morning yes i be sooo ready for summer but i still have regents exams i hate new york,Negative,Negative
72141,exclude tax will end up pay the same as other economy flight from other cities,Negative,Negative
1331211,urbsoph great idea but then again i don t have plan to live in china so why just wonder,Positive,Positive
91270,delay by min now,Neutral,Negative
1562350,watch the quot marry with children quot marathon,Neutral,Neutral
182268,i wish i could be there,Neutral,Positive
685237,holy hangover don t know what time i get home last night stupid happy hour,Neutral,Positive
1262543,be a good one i m almost through it to so i can tell you from experience,Positive,Positive
1007334,it s a pleasure jenny i be now a bite sick of rest time to get back to normal i think have a great day x,Neutral,Positive
377477,where r u me and my mum be freak we be in tampa the whole time tix be on sale and now we miss out for brizvegas,Negative,Negative
1027929,that s weird consider the title be huge block letter all across the screen good stuff though,Neutral,Positive
1385731,be busy day today get mother into watch billiards cool,Neutral,Positive
855312,xmn no it s in my grandma s garden,Negative,Negative
1162859,manohara so beauty like someone i mean me xd,Negative,Positive
869771,head to imaginerit today,Neutral,Neutral
1184759,lol right shoulder right knee both quite sore the rest not too bad quick nurse the calamine lotion,Positive,Positive
599830,be the rain be insane there it s so heavy here i hope the sun come out for us on sunday,Neutral,Positive
1233020,makin shirt today,Negative,Neutral
1030438,what the fuck thank for the info you should sneak pics and post em for laugh,Negative,Positive
903375,they grovel on tomorrow morning will post a link to the show should be on just after be if anyone be about,Neutral,Neutral
1325551,what movie be you watch,Positive,Neutral
680059,sit down eat hot dot cheese and bread so much for this mornings run,Negative,Neutral
1141728,live joomla usability test amp have fun peep,Negative,Positive
1571900,y be this naggin ass twigga beggin me give him dj unk s management number let me see what i can do about me st sonnie boyyy,Negative,Negative
333678,what happen,Neutral,Neutral
249805,why be i so stress,Neutral,Negative
367665,wow i want to learn german i dont know why but i like it so much i speak english and spanish only waaa,Negative,Positive
1381687,we ll talk in the morning hun love ya,Neutral,Positive
330165,at least your return will make the country a brighter and happier place to be read the news now though,Negative,Positive
1399360,mollie s one year old b day party today,Neutral,Positive
280086,confirm case of swine flu at mtc i love teach there,Negative,Positive
1471737,have a safe flight to la danny can t wait to see you and the other idols on tour,Positive,Positive
1015779,its never late then never you welcome,Negative,Negative
1084706,omg you re alive,Positive,Positive
498070,feel icky like woah i need my mommy to make me some chicken soup and tuck me in,Negative,Positive
700232,not fun to be wake up by cat attack and eat your arm,Negative,Negative
908356,go to bed night,Neutral,Neutral
1599949,find out what this be,Neutral,Neutral
461409,so upset finally at home hope i get a c for english,Neutral,Neutral
1492152,mmmmmm i sure would like a quickie before the game tonight lt please excuse my random freakiness,Negative,Positive
1588576,i believe i have the flu kid,Neutral,Negative
783797,brian you still with me,Neutral,Neutral
631483,oh and klutz and rpatz be in my dream last night no sign of kstew,Negative,Negative
1015010,jaljeera lol in trend topics who would have think jai ho,Negative,Positive
650993,ohhh i hope you feel better i appreciate you take a look for me it s special to me and something i would really like to do,Neutral,Positive
637235,yep yep i need to get do there and check out their deal be hours up in lancaster be just too much gas,Negative,Positive
656966,it s rain it s pour,Neutral,Neutral
134886,finally my day be start to come together still win t get out of here much before pm which mean i win t be home until go pm,Neutral,Positive
1566245,the mmotivator be our mm newsletter that come out a couple time a month it s new,Neutral,Neutral
1212227,hmmmm cant wait to go home but sure things will be different probably good,Positive,Positive
797130,i can almost finally take driver s ed geez i be so freakin young,Neutral,Neutral
632785,well seriously vulgar i see goodpussy and then nigga in the same sentence disgust talk it be,Negative,Negative
478507,typical monday morning ready to go home,Negative,Positive
118791,she be not there,Neutral,Neutral
849096,lt take a puffy puff of my twitter blunt and keep it in roation,Negative,Neutral
702185,it s unfair how pretty she be if i could look like her or miley i d be so so happy,Neutral,Positive
1566306,heart you too be the star there big and bright,Negative,Positive
16760,cant listen to www zipfm net on my mac,Neutral,Neutral
797525,i keep try to enter but keep get a drupal off line error when i submit it,Negative,Negative
1455594,yep still do laundry cuz i cant sleep im sure i will soon though,Negative,Positive
716865,grrrrrr tie at now reds,Neutral,Neutral
887795,go to sign off and sleep nyt ol pinoyzz,Negative,Neutral
90221,sooo i think the pool may be out,Neutral,Neutral
488016,i miss lukeyy i haven t speak to him since staurday,Neutral,Negative
1355971,arruma o link a,Neutral,Neutral
976457,the g be really cool its about ill get one if bri get one,Neutral,Negative
419387,i might be better off disappear for a while hell time will tell,Negative,Negative
1206093,this weeknd go by too fastt officially days of school leave count weekend amp when lvatt come out woo,Negative,Positive
1432884,bulliten on myspace i wan na try to find more from that day i ll tweet them if i do,Negative,Neutral
508001,thats good to know have u meet up with jade yet i miss you too be you come back for a bite before your uni start in aug,Negative,Positive
2652,omg whats with windows vista today try instal it on my windows laptop and its die reinstall,Negative,Negative
1327378,hes kgjkcvhjvhkj but thats not hah,Negative,Neutral
731047,i lose my cell last night have to pay for a new one grrrr,Neutral,Negative
1020423,envious come back past brighton racecourse i saw a guy go into the allotments clutch a large bottle of beer garden my arse,Negative,Negative
251481,i know he say he saw u i miss u man,Neutral,Negative
603721,be it true that women don t have the capacity to grow bulky muscle i ve be train hard and i m start to see some form,Neutral,Positive
1567946,lol the girl be a mystery not say theres a girl but yes,Neutral,Positive
1477204,american idol audition in chicago maybe i ll go,Negative,Neutral
28812,get ready to come back to school tomorrow,Neutral,Positive
929266,welcome aboard robbijod my class reunion be on twitter or i may nor be here,Neutral,Positive
925969,hmmm that s not a crazy idea,Neutral,Positive
1357266,good news for everyone who s happy when i be i m buy the new all time low cd at www glamourkills com with an atl shirt and a poster,Positive,Positive
9329,same shitt different day when do it stop,Neutral,Negative
341105,im try to watch it but my computer be be lame and keep play weird sound on my computer but i cant get rid of them,Negative,Negative
915149,test out ymtumbkr on my iphone qycvc,Negative,Neutral
26655,oooh my brand spank new slash lol spank ahem umm people who i give part to haven t read the new add i post,Negative,Positive
1063835,whoo dance in a couple of hours cant wait i be pretty spiffy,Negative,Negative
1259791,that s a nice name,Positive,Positive
473830,hey girl not go to make it by to see you today at seton and not sure when i be go home,Neutral,Negative
912863,happpppy mother day,Neutral,Neutral
900439,fil with cool people like me,Positive,Positive
1438964,play with sisters new wig its pink its short and i look pretty cool wear it,Negative,Positive
919047,my miss doesn t read my tweet so she wouldn t know that the emo guy win dsds,Negative,Positive
1419130,lol yeah i get it i will be register for lobby days the minute i get home from work,Negative,Positive
627513,look like i may be home on friday after all still work out how to get the kitties home,Neutral,Positive
787795,goodbye blackberry,Neutral,Neutral
1053131,thank for the ff mention,Neutral,Positive
851355,people will now realize why i fuss over it so much happiness,Negative,Positive
1549875,just hear we might have a tornado so i guess i ll be drink that ice cold beer amp sit outside watch the cloud,Negative,Neutral
594456,your stupid game and we would play them over the phone together i miss alot of things i miss be your friend i wish you miss me,Verynegative,Positive
238162,the touch screen be die now i can t send text message and this be the second screen i have put in the phone,Positive,Negative
139347,i think my ipood have die,Neutral,Negative
1102274,i m suppose to be sleep,Negative,Neutral
76629,sami be off to germany in the summer,Neutral,Neutral
1529030,just relax lah beb,Neutral,Positive
544630,ughhh fml,Neutral,Neutral
1284654,hmmm not so much green at the moment the drought be hit the outback hard at the moment still lot of horse though,Negative,Negative
435730,feel super sad hate goodbyes,Neutral,Negative
429620,at work until or so my neck hurt booo,Neutral,Negative
1464051,go to eat then beach,Positive,Neutral
1231561,sadly not it be all very civilise dinner with scientists shift start pm today so time to recover coffee be brew,Negative,Negative
1176324,morning walk for coffee with howee before another awesome day of soap c gu,Negative,Positive
1014103,work work work ha when do you think the new album be come out end of this year,Neutral,Positive
265618,watch el padre de familia already miss tony,Negative,Negative
1109364,plssssss work there lol prob not guna be able to hook us up on the j discount but im d for w e i can get lol,Negative,Positive
1040585,waaah i didn t get a good nice sleep last night so sleepy now haha,Neutral,Positive
1248645,you there reply you sick girl lolz ashley comin over uhg,Negative,Positive
1359155,so last performance of the year we totally tank it haha but s all good we ll get em next time maybe,Negative,Positive
641793,whats wrong with my internet connection,Negative,Negative
1565728,lol re pu b l i can the demo c rat s tho thx just us lol all mfg wfg thor tee y de luxe ey spd cdu csu b gr ne fdp link and thx,Negative,Positive
1021000,hahahaa look in secret hide place mwahahhahaa more there,Neutral,Negative
551605,try to fix my laptop,Negative,Neutral
1308053,lol ok let call a truce rickolas,Negative,Positive
1434921,yaaay welcome back,Positive,Positive
133651,ohh feel better i hate when i get that,Negative,Negative
252515,soulja boy go souljaboytellem live gt uhs,Neutral,Positive
657372,my foot hurt i jam it in the door,Negative,Negative
1519714,yay it s my turn i m go to see today,Negative,Positive
528823,isn t dig xbox live be down,Neutral,Neutral
335954,just realize the live in philly be on father s day i probably win t be go afterall very sad pandas,Negative,Positive
1363368,in a record studio in north hollywood just finish record a sample,Neutral,Neutral
820965,how be you please write back,Positive,Positive
431605,i don t see them on amazon com uk,Neutral,Positive
495247,hmmmm be it just me or be erin andrews on the emaciate side lately,Neutral,Neutral
1586296,heeey demi please follow me i m a big fan of you i love you so much,Positive,Positive
818166,that link take me to a lesson no giveaway,Negative,Negative
475001,on my way to workouts,Neutral,Neutral
277603,weeks away from work and i ve forget php,Neutral,Negative
492952,okayyy so i call the wal mart since that be hrs and idk if ill be able to get album then i dont want to wait for tg,Negative,Negative
763219,beach day hopefully buy a watermelon and be try to make hummus but only have dry chicpeas,Negative,Positive
1481016,yes i like the alternatives to the iphone that keep pop up i refuse to switch to at amp t,Neutral,Positive
1367116,same here where you go,Neutral,Neutral
838415,we actually go out to chinatown la on a whim lol what be you guy do today i m crave roscoes yumms,Neutral,Positive
431075,good news the illustrations for my story come in bad news i m home with a fever and sore throat,Negative,Negative
1592845,bwahahah you be amaze however it be quite the letdown,Negative,Positive
724419,yes again i wont have my picture up until late tomorrow i m on my laptop in the hotel but i forget my camera cord,Negative,Negative
278257,hmmm i can dig that i have be look for african and jamaican recipes no luck,Negative,Positive
136109,just seriously choke to death on water stupid water go down the wrong god damn tube ow cough to death and now my throat hurt,Verynegative,Negative
293772,layin down so tire storm be scary hmph lol,Negative,Negative
844596,just today s exam and i shall declare my exams as over,Negative,Neutral
80638,i think i be the only one here who be a mom yeah so i can t get to that many show i get both cook this month and thats a miracle,Neutral,Positive
1219393,aw congrats sir i m sure everything be lovely have a great time,Positive,Positive
1255278,i finally manage to read all my tweet any else have problems with tweetie,Neutral,Negative
1426238,and it s over now scrub be a little more in my zone,Neutral,Neutral
98796,that would be cool i dream i would win the lotto buy a silver volvo hatch and have cullen wp on it but dh would be,Neutral,Positive
1145901,haha as i don t it doesn t but lady mobsters be awesome,Neutral,Positive
1219202,go to go dance in the river to music no one else can hear twas fun,Neutral,Positive
182362,wahhhhh when be remy come back already tonight s guy be awful,Negative,Negative
880085,love send postcards send some of my crazy postcards to your postcrossing friends,Neutral,Positive
470641,have a big iron burn an her arm that look like its go to scar,Neutral,Positive
1554833,go to bed,Neutral,Neutral
201394,buy the wrong battery can t drift tonight rxzej,Negative,Negative
1328075,absolutely it be more difficult for me since my first be on my back,Positive,Negative
1031991,haha i know but it be really good seein you tonight i have fun can t wait til the next show,Positive,Positive
1036878,enjoy your sushi run with the girls sound delicious,Positive,Positive
1545069,just chillen,Neutral,Neutral
359001,poor you my worry relationships woes not gon na be fun i almost wish i be work,Negative,Negative
708797,i can only one way tweet unless i get a dm ut s wi fi hat me,Negative,Neutral
946200,ice cream text meeee c dn,Neutral,Neutral
90066,fruit salad chicken pie mango smoothie fry chicken burger fry ice cream chocolate syrup whole nut and water hickups,Negative,Neutral
825527,check out nba tv and the livestream package thank to,Negative,Positive
223112,mad that the cavs r lose but still love lebron,Neutral,Positive
